LIST,SIZE,SPEC
11SCB41-BR301-HC21-DN15,15,SCB
11SCB41-BR302-HC21-DN15,15,SCB
11SCB41-BR303-HC21-DN15,15,SCB
11SCB41-BR401-HC21-DN15,15,SCB
11SCB41-BR402-HC21-DN15,15,SCB
11HAC10-BR301-CB2B-DN20,20,HAC
11HAC30-BR301-DB2B-DN20,20,HAC
11HAC30-BR302-DB2B-DN20,20,HAC
11HAC30-BR303-DB2B-DN20,20,HAC
11HAC30-BR304-DB2B-DN20,20,HAC
11HAC30-BR305-DB2B-DN20,20,HAC
11HAD10-BR301-CB3B-DN20,20,HAD
11HAD10-BR302-CB3B-DN20,20,HAD
11HAD10-BR303-CB3B-DN20,20,HAD
11HAD10-BR304-CB3B-DN20,20,HAD
11HAD20-BR301-EB2B-DN20,20,HAD
11HAD20-BR302-EB2B-DN20,20,HAD
11HAD20-BR303-EB2B-DN20,20,HAD
11HAD20-BR304-EB2B-DN20,20,HAD
11HAD30-BR301-HB1B-DN20,20,HAD
11HAD30-BR302-HB1B-DN20,20,HAD
11HAD30-BR303-HB1B-DN20,20,HAD
11HAD30-BR304-HB1B-DN20,20,HAD
11HNA10-BR301-HC2N-DN20,20,HNA
11HNA10-BR302-HC2N-DN20,20,HNA
11HNA10-BR303-HC2N-DN020,20,HNA
11HNA10-BR304-HC2N-DN20,20,HNA
11HNA10-BR305-HC2N-DN20,20,HNA
11HNA10-BR306-HC2N-DN20,20,HNA
11HNA10-BR307-HC2N-DN20,20,HNA
11HNA10-BR308-HC2N-DN20,20,HNA
11HNA10-BR310-HC2N-DN20,20,HNA
11HNA10-BR330-HC2N-DN20,20,HNA
11HNA10-BR340-HC1N-DN20,20,HNA
11HNA10-BR341-HC1N-DN20,20,HNA
11HNA10-BR350-HC1N-DN20,20,HNA
11HNA10-BR360-HC1N-DN20,20,HNA
11LAB61-BR301-BB1N-DN20,20,LAB
11LAB61-BR302-BB1N-DN20,20,LAB
11LAB61-BR303-BB1N-DN20,20,LAB
11LAB61-BR304-BB1N-DN20,20,LAB
11LAB61-BR305-BB1N-DN20,20,LAB
11LAB61-BR306-BB1N-DN20,20,LAB
11LAB61-BR307-BB1N-DN20,20,LAB
11LAB61-BR311-BB1N-DN20,20,LAB
11LAB61-BR313-BB1N-DN20,20,LAB
11LAB62-BR308-CB2B-DN20,20,LAB
11LAB62-BR309-CB2B-DN20,20,LAB
11LAB62-BR310-CB2B-DN20,20,LAB
11LAB65-BR301-DB2B-DN20,20,LAB
11LAB65-BR303-DB2B-DN20,20,LAB
11LAE10-BR301-BB1N-DN20,20,LAE
11LAE10-BR302-BB1N-DN20,20,LAE
11LAE10-BR303-BB1N-DN20,20,LAE
11LAE10-BR304-BB1N-DN20,20,LAE
11LAE40-BR301-BB1N-DN20,20,LAE
11LAE40-BR302-BB1N-DN20,20,LAE
11LAE40-BR303-BB1N-DN20,20,LAE
11LAE40-BR304-BB1N-DN20,20,LAE
11LAF10-BR301-DB1N-DN20,20,LAF
11LAF10-BR302-DB1N-DN20,20,LAF
11LAF10-BR303-DB1N-DN20,20,LAF
11LAF10-BR304-DB1N-DN20,20,LAF
11LAF40-BR301-DB1N-DN20,20,LAF
11LAF40-BR302-DB1N-DN20,20,LAF
11LAF40-BR303-DB1N-DN20,20,LAF
11LAF40-BR304-DB1N-DN20,20,LAF
11LBA10-BR301-BA1B-DN20,20,LBA
11LBA10-BR302-BA1B-DN20,20,LBA
11LBA10-BR303-BA1B-DN20,20,LBA
11LBA10-BR305-BA1B-DN20,20,LBA
11LBA10-BR306-BA1B-DN20,20,LBA
11LBA10-BR307-BA1B-DN20,20,LBA
11LBA10-BR308-BA1B-DN20,20,LBA
11LBA20-BR301-EB2B-DN20,20,LBA
11LBA20-BR303-EB2B-DN20,20,LBA
11LBA20-BR304-EB2B-DN20,20,LBA
11LBA20-BR305-EB2B-DN20,20,LBA
11LBA20-BR306-EB2B-DN20,20,LBA
11LBA20-BR307-EB2B-DN20,20,LBA
11LBA20-BR308-EB2B-DN20,20,LBA
11LBA20-BR314-EB2B-DN20,20,LBA
11LBA30-BR301-GB2B-DN20,20,LBA
11LBA30-BR302-GB2B-DN20,20,LBA
